artist,track,datetime,album,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Declan Mckenna,In Blue,2020-08-25 11:10:56,,,,,,,,,,,,,,,,,
Declan Mckenna,In Blue,2020-08-07 22:31:03,,,,,,,,,,,,,,,,,
Declan Mckenna,In Blue,2020-03-27 23:02:03,,,,,,,,,,,,,,,,,
Everything Everything,Don't Let It Bring You Down - Live At Bbc Maida Vale,2020-08-24 13:17:44,,,,,,,,,,,,,,,,,
Gotham Knights,World Premiere Trailer,2020-08-24 10:37:20,,,,,,,,,,,,,,,,,
Deep Rock Galactic,Mission Control Quotes,2020-08-23 21:14:36,,,,,,,,,,,,,,,,,
Sweet,Cigarettes After Sex (long),2020-08-23 15:35:45,,,,,,,,,,,,,,,,,
Ocean,John Butler - 2012 Studio Version,2020-08-23 15:23:31,,,,,,,,,,,,,,,,,
Fkj & Masego,Tadow,2020-08-23 15:15:15,,,,,,,,,,,,,,,,,
Fkj & Masego,Tadow,2017-12-05 08:17:20,,,,,,,,,,,,,,,,,
City Of The Sun,Intro (the Xx Cover),2020-08-23 15:08:42,,,,,,,,,,,,,,,,,
Sweater Weather,The Neighbourhood (cover),2020-08-23 15:04:34,,,,,,,,,,,,,,,,,
Firebase,Ultimate Beginner's Guide,2020-08-22 20:53:42,,,,,,,,,,,,,,,,,
Gtx 1660 Ti Vs Rtx 2060,Gaming Laptop Comparison,2020-08-21 16:30:30,,,,,,,,,,,,,,,,,
Adoy,Don't Stop,2020-08-21 00:02:45,,,,,,,,,,,,,,,,,
Adoy,Don't Stop,2020-08-20 23:58:45,,,,,,,,,,,,,,,,,
Adoy,Don't Stop,2020-08-20 20:00:55,,,,,,,,,,,,,,,,,
Adoy,Don't Stop,2020-08-19 21:57:21,,,,,,,,,,,,,,,,,
Adoy,Don't Stop,2020-08-18 13:05:01,,,,,,,,,,,,,,,,,
Adoy,Don't Stop,2020-08-17 14:01:35,,,,,,,,,,,,,,,,,
Adoy,Don't Stop,2020-08-16 16:35:53,,,,,,,,,,,,,,,,,
Adoy,Don't Stop,2020-08-13 08:52:28,,,,,,,,,,,,,,,,,
Adoy,Don't Stop,2020-08-11 23:39:04,,,,,,,,,,,,,,,,,
Adoy,Don't Stop,2020-08-11 14:23:04,,,,,,,,,,,,,,,,,
Chill Japanese Songs To Vibe With When Somethings Off,Short Playlist,2020-08-20 10:37:33,,,,,,,,,,,,,,,,,
검정치마,Hollywood,2020-08-19 21:40:32,,,,,,,,,,,,,,,,,
검정치마,Hollywood,2020-08-11 23:49:10,,,,,,,,,,,,,,,,,
