,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
107,Liquid Tension Experiment,Liquid Tension Experiment 2,Hourglass,0qPgNvAcbI2mySIiDqBxIE,0.505,0.208,7,-15.143,1,0.0407,0.873,0.327,0.0657,83.599,265533,4
108,Sigur Rós,Valtari,Fjögur píanó,4hxlBScGRBIwP7FYjVzBBN,0.14,0.141,4,-19.327,1,0.0403,0.846,0.12,0.0396,73.649,470000,4
109,Goldmund,The Malady Of Elegance,Threnody,7hyAAjHZaDWSPDzlUYNUIa,0.217,0.00572,2,-30.767,1,0.0394,0.925,0.109,0.174,85.279,281120,4
110,Klrx,Stories Within,Missing You,4UHEqPfJlHmzcjElcY6xu1,0.783,0.0969,0,-16.14,1,0.0364,0.881,0.117,0.0654,120.015,278177,4
111,Marconi Union,Weightless (Ambient Transmission Vol. 2),Weightless Part 1,2UZZtkoLOg7IHxeTAdPFvd,0.0783,0.206,2,-20.611,0,0.0337,0.838,0.179,0.0807,80.341,486840,5
112,All India Radio,All India Radio + Bonus DVD,Evening Star,0EbR69wEU7IuV3loOUxLOx,0.302,0.377,1,-10.043,0,0.0275,0.7,0.308,0.0577,138.825,320533,4
113,Noordpool Orchestra,"Radiohead, A Jazz Symphony",Nude,3JHWJsTzkMceZgPXtzbv7O,0.323,0.228,0,-11.221,0,0.03,0.828,0.108,0.131,109.482,468653,3
114,Izzard,Things Unseen EP,Things Unseen,23pYsW4PhIdUJv8yFYMjFD,0.237,0.0874,4,-18.505,1,0.0648,0.824,0.163,0.15,76.293,245128,4
115,Catching Flies,Komorebi / Mama's Wisdom,Komorebi,287rRN24HNx4pNs0rwNQt8,0.568,0.489,7,-11.22,0,0.0353,0.743,0.106,0.0387,92.992,230342,4
116,Academy Garden,Earth OST,Below the Alpine,275O6wd6DqWH6PGoSdOlC2,0.704,0.608,11,-8.715,1,0.0748,0.825,0.0627,0.526,123.106,243902,4
117,Soda Island,A Trip To Soda Island,Oceans,3HtJM95ShPj5D3jXJTotcl,0.181,0.122,7,-24.737,1,0.0368,0.893,0.0859,0.267,88.719,98226,1
118,RADWIMPS,君の名は。,かたわれ時,08NKLJpiQO9kGuq9oBCzDE,0.557,0.142,5,-14.1,1,0.0451,0.932,0.0937,0.218,129.931,167387,4
119,Porcupine Tree,Signify (Remaster),"""Light Mass Prayers""",7IlzPutBp5cHQ2KTYWDnac,0.115,0.0534,1,-29.682,0,0.0367,0.977,0.1,0.0258,74.792,268653,3
120,Various Artists,Where Stalks The Sandman,A Grapefruit In The World Of Park,25cZ1hejpFTQY8rQ9lV7Xu,0.175,0.0657,7,-27.987,1,0.0494,0.851,0.0837,0.0225,85.469,727387,4
121,Storm Corrosion,Storm Corrosion (Special Edition),Ljudet Innan,1arn1AwDxrsylmS8SBG2y1,0.248,0.0534,6,-25.367,0,0.0379,0.155,0.0873,0.0363,120.07,620013,4
122,晨曦光廊,60km/h,60km/h,4NfMwbwXBYAgTAEyBnfokZ,0.52,0.54,11,-10.345,0,0.0289,0.752,0.304,0.0932,135.031,463613,4
123,Different Sleep,Conflict EP,Slow Things Down,1By5lvXPLlg34gHXFlzPwk,0.538,0.335,4,-19.997,1,0.0595,0.901,0.0857,0.0563,118.097,190042,4
124,Trent Reznor and Atticus Ross,Before the Flood (Music from the Motion Picture),Huaynaputina,4KW6SotIpgtCeAwE5Z1ncX,0.0854,0.114,3,-21.819,0,0.0353,0.909,0.0788,0.0395,64.151,399568,4
125,Adam Young,Apollo 11,First Step on the Surface,2tgkijkP3gSf92W1godgI7,0.15,0.0549,0,-22.294,1,0.0425,0.965,0.0981,0.0647,82.192,108067,4
126,Sound Remedy,Missing U,Missing U,7jtJ9vYNznVyQClE4AbRxb,0.351,0.214,7,-12.83,1,0.0299,0.934,0.136,0.0374,72.032,213333,4
127,Nils Frahm,Music for the Motion Picture Victoria (Bonus Track Version),Them,55c9jHCc9bsryobmiSQyvh,0.496,0.214,6,-21.111,1,0.0323,0.861,0.0759,0.0494,100.031,240648,3
128,Jon E. Amber,"Softly, Gently",Remainder,1ii5lAzacPd9tfeS81nvKM,0.596,0.003,0,-20.254,0,0.135,0.959,0.101,0.387,64.479,179018,4
129,Daniel Lanois,Belladonna,Flametop Green,3jl34exVXaxO2T0XpBkBZl,0.629,0.125,7,-16.983,0,0.0501,0.723,0.102,0.375,135.661,147333,4
130,Bersarin Quartett,II,Hier und Jetzt,2mnf7BXtUYa7wFl251UZC7,0.0711,0.3,7,-17.86,0,0.0376,0.921,0.122,0.0383,64.247,380981,4
131,Bill Frisell,Guitar in the Space Age,Surfer Girl,2Ksw2QttWAoNr9Tkz7IXKA,0.361,0.331,2,-12.154,1,0.0275,0.883,0.188,0.194,173.666,254107,3
132,ichika,she waits patiently,farewell,4vz7KVELfWG3BJkTcdOUaH,0.505,0.165,4,-12.303,0,0.043,2.65e-05,0.0817,0.0487,75.961,176922,4
133,Disasterpeace,Hyper Light Drifter,Panacea,6MZ1AKHEOGdi9b6IqErbJu,0.44,0.00943,8,-25.711,0,0.0555,0.881,0.338,0.0845,67.776,364274,3
134,July Skies,The Weather Clock,Distant Showers Sweep Across Norfolk Schools,4AY8dixByIU6tC0vx0j3qY,0.252,0.219,10,-18.766,0,0.0338,0.929,0.252,0.0464,81.874,270813,4
135,Clem Leek,Lifenotes,Walter,7D07u4rJltvqtif0LGxwrq,0.266,0.0544,3,-20.273,0,0.0566,0.662,0.342,0.206,77.852,222000,5
136,Berlinist,Landscapes,Hold Me Tight,3JQ1n3bt7Hl6ilW46i8QOf,0.18,0.292,3,-13.82,1,0.037,0.923,0.108,0.0837,172.071,271610,3
137,Keegan DeWitt,Hearts Beat Loud (Original Motion Picture Soundtrack),Everything Must Go (Frank Collage),2BY40RfMfBavzsjiTfbow3,0.523,0.366,9,-14.147,1,0.0269,0.876,0.0898,0.23,108.023,214238,4
138,Teen Daze,Glacier,Autumnal,3dlOe3EvVrmK4gsLD5mr9J,0.552,0.69,1,-10.575,1,0.0429,0.878,0.112,0.237,99.994,328813,4
139,Lullatone,While Winter Whispers - EP,Falling Asleep with a Book on Your Chest,6ZRtVAbJQZDqCoDEs2Xgdt,0.139,0.072,7,-27.726,1,0.0683,0.767,0.168,0.0297,67.71,256580,4
