artist,track,datetime,album,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
The Centurians,Bullwinkle Pt. Ii,2018-09-12 12:45:42,Surfers' Pajama Party (US Release),2005-02-08,['surf music'],136546.0,53.0,0.4,0.348,7.0,-15.4,0.0,0.037000000000000005,0.773,0.78,0.0889,0.331,157.808,4.0
City And Colour,Natural Disaster,2018-09-12 01:07:45,Little Hell,2011-06-07,"['canadian folk', 'canadian indie']",228946.0,29.0,0.445,0.632,0.0,-7.9860000000000015,1.0,0.0268,0.00829,2.43e-06,0.21100000000000002,0.514,139.68,4.0
I Monster,Who Is She?,2018-09-09 08:40:49,Neveroddoreven,2005-01-27,"['downtempo', 'electronica', 'trip hop']",213373.0,44.0,0.396,0.8009999999999999,1.0,-4.013999999999999,0.0,0.0411,0.0742,0.00907,0.0925,0.105,152.701,4.0
The Midnight,Kick Drums & Red Wine (instrumental),2018-08-17 09:33:54,Days of Thunder (The Instrumentals),2015-03-25,"['nightrun', 'popwave']",381666.0,24.0,0.43799999999999994,0.871,0.0,-8.525,0.0,0.0323,0.0020399999999999997,0.905,0.171,0.134,125.99600000000001,4.0
The Midnight,Kick Drums & Red Wine (instrumental),2017-10-31 22:13:24,Days of Thunder (The Instrumentals),2015-03-25,"['nightrun', 'popwave']",381666.0,24.0,0.43799999999999994,0.871,0.0,-8.525,0.0,0.0323,0.0020399999999999997,0.905,0.171,0.134,125.99600000000001,4.0
The Libertines,Can't Stand Me Now,2018-08-11 00:22:01,Time For Heroes - The Best Of The Libertines,2007-10-30,"['alternative rock', 'britpop', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern rock', 'rock']",204760.0,10.0,0.371,0.943,4.0,-3.095,1.0,0.0577,0.0109,3.79e-05,0.0795,0.596,164.40099999999995,4.0
Axel Flovent,Quiet Eyes,2018-07-27 17:55:59,Quiet Eyes,2017-04-21,"['icelandic folk', 'icelandic indie', 'indie anthem-folk', 'indie folk']",199148.0,49.0,0.322,0.281,1.0,-12.032,1.0,0.0286,0.34,0.0022,0.115,0.0865,92.711,3.0
Axel Flovent,Quiet Eyes,2018-07-27 17:52:42,Quiet Eyes,2017-04-21,"['icelandic folk', 'icelandic indie', 'indie anthem-folk', 'indie folk']",199148.0,49.0,0.322,0.281,1.0,-12.032,1.0,0.0286,0.34,0.0022,0.115,0.0865,92.711,3.0
Mojo Juju & The Snake Oil Merchants,Catch A Fire,2018-07-19 19:55:46,Sellin' You Salvation,2010-05-07,[],296813.0,12.0,0.41600000000000004,0.39399999999999996,7.0,-8.685,1.0,0.267,0.39899999999999997,0.0,0.10800000000000001,0.244,174.87099999999995,3.0
Mojo Juju & The Snake Oil Merchants,Catch A Fire,2018-01-27 16:51:44,Sellin' You Salvation,2010-05-07,[],296813.0,12.0,0.41600000000000004,0.39399999999999996,7.0,-8.685,1.0,0.267,0.39899999999999997,0.0,0.10800000000000001,0.244,174.87099999999995,3.0
Mt. Wolf,Red (the Walton Hoax Remix),2018-07-18 08:42:54,Red (Deluxe Version),2015-04-13,"['chamber pop', 'vapor soul']",254309.0,26.0,0.562,0.5589999999999999,5.0,-8.827,0.0,0.0354,0.0932,0.153,0.10300000000000001,0.0611,123.963,4.0
Mt. Wolf,Red (the Walton Hoax Remix),2018-07-13 11:24:22,Red (Deluxe Version),2015-04-13,"['chamber pop', 'vapor soul']",254309.0,26.0,0.562,0.5589999999999999,5.0,-8.827,0.0,0.0354,0.0932,0.153,0.10300000000000001,0.0611,123.963,4.0
Mt. Wolf,Red (the Walton Hoax Remix),2017-07-08 20:00:45,Red (Deluxe Version),2015-04-13,"['chamber pop', 'vapor soul']",254309.0,26.0,0.562,0.5589999999999999,5.0,-8.827,0.0,0.0354,0.0932,0.153,0.10300000000000001,0.0611,123.963,4.0
Mt. Wolf,Red (the Walton Hoax Remix),2017-01-03 07:16:29,Red (Deluxe Version),2015-04-13,"['chamber pop', 'vapor soul']",254309.0,26.0,0.562,0.5589999999999999,5.0,-8.827,0.0,0.0354,0.0932,0.153,0.10300000000000001,0.0611,123.963,4.0
Mt. Wolf,Red (the Walton Hoax Remix),2016-12-17 14:35:37,Red (Deluxe Version),2015-04-13,"['chamber pop', 'vapor soul']",254309.0,26.0,0.562,0.5589999999999999,5.0,-8.827,0.0,0.0354,0.0932,0.153,0.10300000000000001,0.0611,123.963,4.0
