name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Broken,Plastic Beach,Gorillaz,2010-03-03,"['alternative hip hop', 'art pop']",197053,58,0.493,0.918,0,-4.618,1,0.034,0.00452,0.0858,0.427,0.703,158.897,4
As Days Go By,Home Tape,Spencer Roberts,2017-03-10,[],185237,15,0.603,0.342,2,-8.589,1,0.042,0.402,0.000107,0.103,0.149,83.93,4
Lose It,Oh Wonder,Oh Wonder,2015-09-04,"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'pop']",229934,64,0.52,0.329,2,-9.337,0,0.0381,0.725,1.31e-05,0.333,0.171,87.857,4
Islands,Young The Giant,Young the Giant,2011,"['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']",245146,42,0.264,0.303,7,-14.986,0,0.0422,0.762,0.0221,0.137,0.183,88.254,4
Meter Down,Taxi No. 9211 (Original Motion Picture Soundtrack),Various Artists,2006-12-01,[],192933,20,0.856,0.516,0,-9.099,0,0.082,0.038,0.000944,0.0565,0.883,139.937,4
No Such Thing - Live at the Shoreline Amphitheater,"As/Is: Mountain View, CA - 7/16/04",John Mayer,2004-08-10,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",276706,24,0.465,0.731,9,-9.66,1,0.0367,0.13,0.00036,0.909,0.503,131.462,4
On The Run,A Way Out (Original Game Soundtrack),Gustaf Grefberg,2020-02-05,[],184551,7,0.544,0.761,1,-13.456,0,0.0311,0.00316,0.81,0.115,0.275,145.012,4
Arrival,A Way Out (Original Game Soundtrack),Gustaf Grefberg,2020-02-05,[],237633,8,0.144,0.0631,0,-20.487,1,0.0349,0.802,0.832,0.103,0.0371,67.239,3
Beginning,A Way Out (Original Game Soundtrack),Gustaf Grefberg,2020-02-05,[],146018,15,0.183,0.0226,5,-35.195,1,0.0375,0.559,0.895,0.0918,0.0357,69.459,4
Time to Time,Time to Time,khai dreams,2017-12-28,"['indie pop', 'lo-fi beats', 'pop']",133894,46,0.528,0.161,11,-16.466,1,0.162,0.921,0.0,0.108,0.807,125.271,5
When You Were Young - Piano Version,Sam's Town (Piano Versions),A Silent Film,2016-10-07,"['oxford indie', 'stomp pop']",224960,34,0.639,0.178,8,-13.525,0,0.0461,0.977,0.00118,0.0945,0.247,124.769,4
Supercut,Melodrama,Lorde,2017-06-16,"['art pop', 'dance pop', 'metropopolis', 'nz pop', 'pop']",277506,68,0.562,0.437,0,-10.229,1,0.052,0.219,2.18e-05,0.0806,0.15,124.852,4
Without You,Oh Wonder,Oh Wonder,2015-09-04,"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'pop']",224740,60,0.639,0.465,11,-7.247,0,0.0696,0.27,1.45e-06,0.124,0.319,86.994,4
Nice House,How Do You Feel Now?,Joywave,2015-04-14,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rochester ny indie', 'rock', 'shimmer pop']",340040,42,0.549,0.754,5,-6.818,1,0.0489,0.188,0.0692,0.124,0.0475,134.988,4
PlantedInMyMind.Memo,PlantedInMyMind.Memo,Charlie Burg,2018-01-30,"['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica']",89072,50,0.511,0.114,0,-16.031,1,0.0362,0.969,0.00038,0.0887,0.508,59.219,4
"Mother, I'm Here (Zulf's Theme)",Bastion Original Soundtrack,Darren Korb,2011-08-05,"['indie game soundtrack', 'scorecore', 'video game music']",136801,42,0.472,0.15,3,-14.562,1,0.0357,0.848,0.0,0.137,0.162,100.655,4
I Dare You,I See You,The xx,2017-01-13,"['downtempo', 'dream pop', 'indietronica']",233280,62,0.752,0.543,1,-9.483,1,0.0398,0.623,0.0706,0.107,0.282,126.001,4
Say Something,Is There Anybody Out There?,A Great Big World,2014-01-20,"['indiecoustica', 'neo mellow', 'piano rock', 'pop', 'pop rock']",229400,77,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3
Tere Bina,Guru (Original Motion Picture Soundtrack),A.R. Rahman,2006-09-11,"['desi pop', 'filmi', 'modern bollywood']",309640,59,0.744,0.7,2,-7.663,1,0.0376,0.278,0.000155,0.068,0.866,144.043,4
Monument,Colony of Bees,Beta Radio,2014-11-18,"['acoustic pop', 'calming instrumental', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'new americana', 'stomp and flutter', 'stomp and holler']",318093,24,0.243,0.36,3,-10.682,1,0.0363,0.769,0.0232,0.125,0.113,96.004,4
"Run for Those Hills, Babe",Bolu,Tom Rosenthal,2015-04-13,"['british singer-songwriter', 'indie anthem-folk', 'indie folk']",148593,39,0.411,0.19,11,-10.323,1,0.0289,0.911,0.00614,0.115,0.169,103.367,3
Highspeeds,Highspeeds,Elliot Moss,2015-04-28,[],202333,32,0.545,0.243,5,-13.144,1,0.0388,0.963,0.0129,0.125,0.0676,130.052,4
Be Fine,Be Fine,Roland Faunte,2020-05-21,['brooklyn indie'],176347,42,0.596,0.329,8,-9.796,1,0.0311,0.638,0.0,0.141,0.36,83.019,4
