name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Comet,Horizon,Christopher Willits,2017-05-19,"['ambient', 'compositional ambient', 'drift', 'drone']",373000,37,0.165,0.156,0,-24.435,0,0.0425,0.88,0.852,0.0764,0.0357,128.779,4
Sway,Sway,Józef Gatysik,2016-12-17,['focus'],162448,60,0.353,0.017,5,-27.471,1,0.0516,0.993,0.892,0.108,0.24,101.389,3
Talisman Stallion,Talisman Stallion,Bela Nemeth,2017-02-07,['focus'],120549,54,0.456,0.024,5,-22.89,1,0.0467,0.995,0.956,0.112,0.22,135.274,4
"Floating, Floating",Transfixed,August Wilhelmsson,2016-06-17,"['background music', 'focus']",120000,48,0.163,0.125,0,-26.134,1,0.0352,0.52,0.817,0.112,0.0393,72.212,4
A Rising Sun,Our Precious Lives,Alan Ellis,2016-06-23,"['background music', 'focus']",208250,50,0.17,0.0237,1,-27.701,1,0.0505,0.792,0.753,0.109,0.0303,114.103,4
Dealings,Last Days Of July,Jonatan Mollberg,2013-09-04,"['background music', 'focus']",175630,40,0.248,0.0169,7,-25.846,0,0.0481,0.981,0.92,0.0685,0.0606,72.056,3
And The Flowers Were Gray,And The Flowers Were Gray,Evelyn Stein,2018-03-27,['background piano'],171553,50,0.435,0.0214,2,-26.006,1,0.0597,0.994,0.968,0.0914,0.235,144.381,3
Gravitational,Gravitational,Dolores Fernel,2017-06-27,"['background music', 'focus']",244000,36,0.221,0.0424,4,-22.479,0,0.0376,0.977,0.866,0.109,0.0386,83.146,3
Quiet Dreams,Quiet Dreams,MVS,2017-09-04,['background music'],204909,58,0.188,0.0249,10,-27.196,1,0.0373,0.988,0.866,0.112,0.0895,91.814,1
First Chakra Keynote C (Red) - (Bonus Version) (Remastered),Spectrum Suite (Bonus Version) [Remastered],Steven Halpern,1975-05-05,"['healing', 'meditation', 'new age', 'sleep']",171106,36,0.212,0.00393,2,-28.139,0,0.0741,0.993,0.688,0.112,0.0362,68.033,4
Archipelago Dreams,Waves Of Hope,Halcyon Fields,2016-11-28,['focus'],156300,41,0.119,0.214,2,-18.913,1,0.0377,0.841,0.931,0.113,0.0385,80.643,4
Anona,The Lost,Otto Totland,2017-12-01,"['focus', 'neo-classical']",207053,49,0.297,0.0437,7,-29.66,1,0.0397,0.995,0.959,0.0814,0.3,147.187,4
Painting The Horizon,Silent Shores,Deep Inside,2014-03-04,['background music'],143477,57,0.202,0.0023,1,-30.487,1,0.0367,0.985,0.964,0.118,0.0441,71.601,4
In,After Midnight,Annelie,2018-09-14,['neo-classical'],145500,39,0.397,0.0172,5,-26.724,0,0.0439,0.994,0.904,0.114,0.156,115.668,4
A New Day,A New Day,Milo Stavos,2016-11-02,['focus'],179102,52,0.446,0.065,0,-18.246,1,0.0577,0.991,0.954,0.107,0.31,69.751,4
Triangle,Triangle,Moon Laika,2017-06-27,['background music'],106315,57,0.279,0.00639,0,-32.406,1,0.0383,0.989,0.838,0.109,0.175,68.484,3
Dormiveglia,Presomnal,Benjamin Gustafsson,2017-11-17,['neo-classical'],161020,61,0.289,0.029,1,-31.863,1,0.0285,0.992,0.906,0.133,0.4,66.942,4
Beau,Flourishing Views,Martin Gauffin,2016-06-16,"['background music', 'focus']",137454,44,0.638,0.214,7,-18.885,1,0.0334,0.949,0.958,0.108,0.0769,110.064,4
