name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Your Wave Caresses Me,We Are Trees,The Last Sighs of the Wind,2017-06-21,"['atmospheric post-rock', 'belarusian indie']",288287,34,0.454,0.695,3,-3.241,1,0.0367,0.0132,0.494,0.0614,0.0394,102.02,4
Baby Girl,Parental Advisory Explicit Content,SMNM,2016-11-21,[],242857,29,0.539,0.774,4,-5.434,1,0.0295,0.0105,0.0337,0.207,0.263,83.988,4
Baby Girl,Parental Advisory Explicit Content,SMNM,2016-11-21,[],242857,29,0.539,0.774,4,-5.434,1,0.0295,0.0105,0.0337,0.207,0.263,83.988,4
Real Death,A Crow Looked at Me,Mount Eerie,2017-03-24,"['alternative rock', 'anti-folk', 'art pop', 'freak folk', 'indie folk', 'indie rock', 'lo-fi', 'melancholia', 'washington indie']",147533,45,0.562,0.187,9,-18.183,0,0.0442,0.676,0.00186,0.132,0.0913,75.965,4
Real Death,A Crow Looked at Me,Mount Eerie,2017-03-24,"['alternative rock', 'anti-folk', 'art pop', 'freak folk', 'indie folk', 'indie rock', 'lo-fi', 'melancholia', 'washington indie']",147533,45,0.562,0.187,9,-18.183,0,0.0442,0.676,0.00186,0.132,0.0913,75.965,4
Mountain Laurels,Geese in the Flyway,Rogue Valley,2010-11-24,['midwest americana'],252381,25,0.566,0.402,7,-12.944,1,0.0314,0.804,0.0106,0.105,0.0808,97.16,4
Riders on the Storm,L.A. Woman,The Doors,1971-04-19,"['acid rock', 'album rock', 'classic rock', 'psychedelic rock', 'rock']",434720,75,0.549,0.722,11,-11.729,0,0.0283,0.25,0.0138,0.11,0.716,103.885,4
"Slow Dancing in a Burning Room - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,John Mayer,2008,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",319226,57,0.514,0.536,1,-7.13,0,0.0288,0.2,8.45e-05,0.727,0.451,133.848,4
Like Toy Soldiers,Encore (Deluxe Version),Eminem,2004-11-12,"['detroit hip hop', 'hip hop', 'rap']",296880,68,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,4
Not Beautiful Anymore / Siren / Small Fish,Up the Downstair (Remaster),Porcupine Tree,1993-05-07,"['alternative metal', 'art rock', 'progressive metal', 'progressive rock', 'symphonic rock']",428262,20,0.248,0.572,2,-12.187,1,0.0483,0.0156,0.61,0.118,0.308,150.086,4
What You Are Listening To... / Synesthesia / Monuments Burn into Moments / Always Never,Up the Downstair (Remaster),Porcupine Tree,1993-05-07,"['alternative metal', 'art rock', 'progressive metal', 'progressive rock', 'symphonic rock']",829926,24,0.28,0.652,7,-12.884,1,0.039,0.0187,0.902,0.369,0.193,92.51,4
What You Are Listening To... / Synesthesia / Monuments Burn into Moments / Always Never,Up the Downstair (Remaster),Porcupine Tree,1993-05-07,"['alternative metal', 'art rock', 'progressive metal', 'progressive rock', 'symphonic rock']",829926,24,0.28,0.652,7,-12.884,1,0.039,0.0187,0.902,0.369,0.193,92.51,4
Fake Plastic Trees,Westworld: Season 1 (Music from the HBO Series),Ramin Djawadi,2016-12-05,"['german soundtrack', 'scorecore', 'soundtrack', 'video game music']",134084,40,0.657,0.0798,9,-23.49,1,0.0422,0.992,0.808,0.103,0.545,147.067,4
Into The Sea,The Albatross EP,Port Blue,2008-01-01,['ambient worship'],142173,39,0.66,0.654,1,-9.382,1,0.0385,0.0269,0.742,0.116,0.212,109.974,4
Runaways,Battle Born,The Killers,2012-09-17,"['modern rock', 'permanent wave', 'rock']",243786,62,0.409,0.837,1,-4.043,1,0.0406,0.00116,0.00651,0.0855,0.199,121.757,4
Metronomic Underground,Emperor Tomato Ketchup (Expanded Edition),Stereolab,1996,"['alternative rock', 'art pop', 'art rock', 'chamber psych', 'dance rock', 'dance-punk', 'electronica', 'experimental', 'freak folk', 'indie pop', 'lo-fi', 'new wave', 'noise pop']",474542,48,0.381,0.789,0,-7.362,0,0.0441,0.0014,0.595,0.0959,0.965,179.012,4
European Oils,Destroyer's Rubies,Destroyer,2006-01-24,"['alternative dance', 'alternative rock', 'art pop', 'canadian indie', 'chamber pop', 'chillwave', 'dance-punk', 'dream pop', 'freak folk', 'garage psych', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'noise pop', 'stomp and holler', 'vancouver indie']",294933,29,0.312,0.713,9,-6.067,1,0.036,0.341,0.101,0.289,0.651,74.52,4
Revival,Halcyon Digest,Deerhunter,2010-09-27,"['alternative dance', 'alternative rock', 'art pop', 'atlanta indie', 'chillwave', 'dance-punk', 'dream pop', 'experimental rock', 'freak folk', 'garage psych', 'indie pop', 'indie rock', 'lo-fi', 'modern alternative rock', 'modern rock', 'neo-psychedelic', 'new rave', 'noise pop', 'noise rock', 'nu gaze', 'shoegaze']",133666,50,0.655,0.805,6,-6.493,1,0.0335,0.0263,0.00542,0.28,0.701,119.029,4
Stop Breathin,"Crooked Rain, Crooked Rain: LA's Desert Origins",Pavement,1994,"['alternative pop', 'alternative rock', 'anti-folk', 'art rock', 'dance rock', 'freak folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'new wave', 'rock']",267973,33,0.352,0.337,5,-13.647,0,0.0251,0.167,0.917,0.14,0.234,153.367,3
Dragonflies,Red House Painters I,Red House Painters,1993-05-24,"['alternative rock', 'art pop', 'freak folk', 'indie rock', 'lo-fi', 'melancholia', 'slowcore']",238333,24,0.393,0.292,7,-14.183,1,0.0286,0.548,0.0076,0.0917,0.106,133.645,4
Hatefuck,+30mg,Cruel Youth,2016-09-16,"['electropop', 'escape room', 'indie poptimism']",244413,48,0.422,0.536,9,-6.345,1,0.0356,0.598,2.36e-06,0.14,0.0753,118.74,4
Synergy,Pikalar,Anika Nilles,2017-02-27,['rock drums'],233373,30,0.424,0.728,8,-6.898,1,0.0544,0.00375,0.873,0.118,0.691,128.189,3
Home Life,Heavier Things,John Mayer,2003-09-09,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",253560,42,0.677,0.826,0,-3.106,1,0.0245,0.0043,0.0385,0.111,0.605,105.982,4
