features_idx,not_features_idx,tracks,artists,Score,track_artist,song_writer
256,6173,1.0,1.0,2.0,Borrowing The Past - Hammock Remix_Rhian Sheehan,Borrowing The Past (hammock Remix)_Rhian Sheehan
256,6174,1.0,1.0,2.0,Borrowing The Past - Hammock Remix_Rhian Sheehan,Borrowing The Past (hammock Remix)_Rhian Sheehan
261,6241,1.0,1.0,2.0,Weightless Part 1_Marconi Union,Weightless Part 2_Marconi Union
261,6242,1.0,1.0,2.0,Weightless Part 1_Marconi Union,Weightless Part 2_Marconi Union
275,6355,1.0,1.0,2.0,"Cross My Mind - Live From Arizona…the State, Not The Band_A R I Z O N A","Cross My Mind - Live From Arizona...the State, Not The Band_A R I Z O N A"
275,6356,1.0,1.0,2.0,"Cross My Mind - Live From Arizona…the State, Not The Band_A R I Z O N A","Cross My Mind - Live From Arizona...the State, Not The Band_A R I Z O N A"
275,6357,1.0,1.0,2.0,"Cross My Mind - Live From Arizona…the State, Not The Band_A R I Z O N A","Cross My Mind - Live From Arizona...the State, Not The Band_A R I Z O N A"
279,6371,1.0,1.0,2.0,Phillip's Bicycle - Dan Sagher Remix_Charlie Burg,Phillip's Bicycle (dan Sagher Remix)_Charlie Burg
288,6490,1.0,1.0,2.0,Clouds & Cream_Sticky Fingers,Clouds + Cream_Sticky Fingers
288,6491,1.0,1.0,2.0,Clouds & Cream_Sticky Fingers,Clouds + Cream_Sticky Fingers
288,6492,1.0,1.0,2.0,Clouds & Cream_Sticky Fingers,Clouds + Cream_Sticky Fingers
288,6493,1.0,1.0,2.0,Clouds & Cream_Sticky Fingers,Clouds + Cream_Sticky Fingers
288,6494,1.0,1.0,2.0,Clouds & Cream_Sticky Fingers,Clouds + Cream_Sticky Fingers
293,6579,1.0,1.0,2.0,House Of The Rising Sun_The Animals,The House Of The Rising Sun_The Animals
293,6580,1.0,1.0,2.0,House Of The Rising Sun_The Animals,The House Of The Rising Sun_The Animals
294,6585,1.0,1.0,2.0,Dr Strangeluv_Blonde Redhead,Dr. Strangeluv_Blonde Redhead
327,6724,1.0,1.0,2.0,Flo Fashion_Sway,Flo' Fashion_Sway
327,6725,1.0,1.0,2.0,Flo Fashion_Sway,Flo' Fashion_Sway
327,6726,1.0,1.0,2.0,Flo Fashion_Sway,Flo' Fashion_Sway
327,6727,1.0,1.0,2.0,Flo Fashion_Sway,Flo' Fashion_Sway
327,6728,1.0,1.0,2.0,Flo Fashion_Sway,Flo' Fashion_Sway
327,6729,1.0,1.0,2.0,Flo Fashion_Sway,Flo' Fashion_Sway
327,6730,1.0,1.0,2.0,Flo Fashion_Sway,Flo' Fashion_Sway
331,6768,1.0,1.0,2.0,Uprising - Live From Teignmouth_Muse,Uprising [live From Teignmouth]_Muse
331,6769,1.0,1.0,2.0,Uprising - Live From Teignmouth_Muse,Uprising [live From Teignmouth]_Muse
338,6882,1.0,1.0,2.0,Endless Summer - Instrumental_The Midnight,Endless Summer (instrumental)_The Midnight
338,6883,1.0,1.0,2.0,Endless Summer - Instrumental_The Midnight,Endless Summer (instrumental)_The Midnight
338,6884,1.0,1.0,2.0,Endless Summer - Instrumental_The Midnight,Endless Summer (instrumental)_The Midnight
338,6885,1.0,1.0,2.0,Endless Summer - Instrumental_The Midnight,Endless Summer (instrumental)_The Midnight
351,7055,1.0,1.0,2.0,"Harness Your Hopes - (bbc Evening Session January 15, 1997)_Pavement","Harness Your Hopes - Bbc Evening Session January 15, 1997_Pavement"
356,7181,1.0,1.0,2.0,Exit Music (for A Film) - Remastered_Radiohead,Exit Music (for A Film) (remastered)_Radiohead
356,7182,1.0,1.0,2.0,Exit Music (for A Film) - Remastered_Radiohead,Exit Music (for A Film) (remastered)_Radiohead
356,7183,1.0,1.0,2.0,Exit Music (for A Film) - Remastered_Radiohead,Exit Music (for A Film) (remastered)_Radiohead
356,7184,1.0,1.0,2.0,Exit Music (for A Film) - Remastered_Radiohead,Exit Music (for A Film) (remastered)_Radiohead
356,7185,1.0,1.0,2.0,Exit Music (for A Film) - Remastered_Radiohead,Exit Music (for A Film) (remastered)_Radiohead
356,7186,1.0,1.0,2.0,Exit Music (for A Film) - Remastered_Radiohead,Exit Music (for A Film) (remastered)_Radiohead
356,7187,1.0,1.0,2.0,Exit Music (for A Film) - Remastered_Radiohead,Exit Music (for A Film) (remastered)_Radiohead
356,7188,1.0,1.0,2.0,Exit Music (for A Film) - Remastered_Radiohead,Exit Music (for A Film) (remastered)_Radiohead
356,7189,1.0,1.0,2.0,Exit Music (for A Film) - Remastered_Radiohead,Exit Music (for A Film) (remastered)_Radiohead
356,7190,1.0,1.0,2.0,Exit Music (for A Film) - Remastered_Radiohead,Exit Music (for A Film) (remastered)_Radiohead
363,7255,1.0,1.0,2.0,The Break Up For Real_No-man,The Break-up For Real_No-man
363,7256,1.0,1.0,2.0,The Break Up For Real_No-man,The Break-up For Real_No-man
363,7257,1.0,1.0,2.0,The Break Up For Real_No-man,The Break-up For Real_No-man
363,7258,1.0,1.0,2.0,The Break Up For Real_No-man,The Break-up For Real_No-man
386,7478,1.0,1.0,2.0,Friends Make Garbage (good Friends Take It Out)_Low Roar,"Friends Make Garbage, Good Friends Take It Out_Low Roar"
386,7479,1.0,1.0,2.0,Friends Make Garbage (good Friends Take It Out)_Low Roar,"Friends Make Garbage, Good Friends Take It Out_Low Roar"
389,7495,1.0,1.0,2.0,"Leaving On A Jet Plane_Peter, Paul And Mary","Leaving On A Jet Plane_Peter, Paul & Mary"
389,7496,1.0,1.0,2.0,"Leaving On A Jet Plane_Peter, Paul And Mary","Leaving On A Jet Plane_Peter, Paul & Mary"
