features_idx,not_features_idx,tracks,artists,Score,artist_track,writer_song
256,6173,1.0,1.0,2.0,Rhian Sheehan_Borrowing The Past - Hammock Remix,Rhian Sheehan_Borrowing The Past (hammock Remix)
256,6174,1.0,1.0,2.0,Rhian Sheehan_Borrowing The Past - Hammock Remix,Rhian Sheehan_Borrowing The Past (hammock Remix)
261,6241,1.0,1.0,2.0,Marconi Union_Weightless Part 1,Marconi Union_Weightless Part 2
261,6242,1.0,1.0,2.0,Marconi Union_Weightless Part 1,Marconi Union_Weightless Part 2
275,6355,1.0,1.0,2.0,"A R I Z O N A_Cross My Mind - Live From Arizona…the State, Not The Band","A R I Z O N A_Cross My Mind - Live From Arizona...the State, Not The Band"
275,6356,1.0,1.0,2.0,"A R I Z O N A_Cross My Mind - Live From Arizona…the State, Not The Band","A R I Z O N A_Cross My Mind - Live From Arizona...the State, Not The Band"
275,6357,1.0,1.0,2.0,"A R I Z O N A_Cross My Mind - Live From Arizona…the State, Not The Band","A R I Z O N A_Cross My Mind - Live From Arizona...the State, Not The Band"
279,6371,1.0,1.0,2.0,Charlie Burg_Phillip's Bicycle - Dan Sagher Remix,Charlie Burg_Phillip's Bicycle (dan Sagher Remix)
288,6490,1.0,1.0,2.0,Sticky Fingers_Clouds & Cream,Sticky Fingers_Clouds + Cream
288,6491,1.0,1.0,2.0,Sticky Fingers_Clouds & Cream,Sticky Fingers_Clouds + Cream
288,6492,1.0,1.0,2.0,Sticky Fingers_Clouds & Cream,Sticky Fingers_Clouds + Cream
288,6493,1.0,1.0,2.0,Sticky Fingers_Clouds & Cream,Sticky Fingers_Clouds + Cream
288,6494,1.0,1.0,2.0,Sticky Fingers_Clouds & Cream,Sticky Fingers_Clouds + Cream
293,6579,1.0,1.0,2.0,The Animals_House Of The Rising Sun,The Animals_The House Of The Rising Sun
293,6580,1.0,1.0,2.0,The Animals_House Of The Rising Sun,The Animals_The House Of The Rising Sun
294,6585,1.0,1.0,2.0,Blonde Redhead_Dr Strangeluv,Blonde Redhead_Dr. Strangeluv
327,6724,1.0,1.0,2.0,Sway_Flo Fashion,Sway_Flo' Fashion
327,6725,1.0,1.0,2.0,Sway_Flo Fashion,Sway_Flo' Fashion
327,6726,1.0,1.0,2.0,Sway_Flo Fashion,Sway_Flo' Fashion
327,6727,1.0,1.0,2.0,Sway_Flo Fashion,Sway_Flo' Fashion
327,6728,1.0,1.0,2.0,Sway_Flo Fashion,Sway_Flo' Fashion
327,6729,1.0,1.0,2.0,Sway_Flo Fashion,Sway_Flo' Fashion
327,6730,1.0,1.0,2.0,Sway_Flo Fashion,Sway_Flo' Fashion
331,6768,1.0,1.0,2.0,Muse_Uprising - Live From Teignmouth,Muse_Uprising [live From Teignmouth]
331,6769,1.0,1.0,2.0,Muse_Uprising - Live From Teignmouth,Muse_Uprising [live From Teignmouth]
338,6882,1.0,1.0,2.0,The Midnight_Endless Summer - Instrumental,The Midnight_Endless Summer (instrumental)
338,6883,1.0,1.0,2.0,The Midnight_Endless Summer - Instrumental,The Midnight_Endless Summer (instrumental)
338,6884,1.0,1.0,2.0,The Midnight_Endless Summer - Instrumental,The Midnight_Endless Summer (instrumental)
338,6885,1.0,1.0,2.0,The Midnight_Endless Summer - Instrumental,The Midnight_Endless Summer (instrumental)
351,7055,1.0,1.0,2.0,"Pavement_Harness Your Hopes - (bbc Evening Session January 15, 1997)","Pavement_Harness Your Hopes - Bbc Evening Session January 15, 1997"
356,7181,1.0,1.0,2.0,Radiohead_Exit Music (for A Film) - Remastered,Radiohead_Exit Music (for A Film) (remastered)
356,7182,1.0,1.0,2.0,Radiohead_Exit Music (for A Film) - Remastered,Radiohead_Exit Music (for A Film) (remastered)
356,7183,1.0,1.0,2.0,Radiohead_Exit Music (for A Film) - Remastered,Radiohead_Exit Music (for A Film) (remastered)
356,7184,1.0,1.0,2.0,Radiohead_Exit Music (for A Film) - Remastered,Radiohead_Exit Music (for A Film) (remastered)
356,7185,1.0,1.0,2.0,Radiohead_Exit Music (for A Film) - Remastered,Radiohead_Exit Music (for A Film) (remastered)
