,name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
318,Behind Blue Eyes (Bonus Track),It's Always Blue: Songs from Legion (Deluxe Edition),Noah Hawley,2018-08-17,[],205360,37,0.423,0.487,9,-11.865,1,0.0425,0.0263,0.214,0.0863,0.0784,140.08,4
319,Road to Nowhere (Bonus Track),It's Always Blue: Songs from Legion (Deluxe Edition),Noah Hawley,2018-08-17,[],189186,20,0.23,0.229,4,-18.203,0,0.0344,0.907,0.00248,0.12,0.312,82.438,4
320,Mile 22 (Main Title) - Screen Version,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",172013,14,0.489,0.443,0,-15.577,0,0.0407,0.684,0.907,0.117,0.0669,81.471,4
321,Overwatch,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",370040,6,0.484,0.625,2,-16.523,1,0.0349,0.36,0.853,0.166,0.122,120.0,4
322,Li Noor,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",375080,4,0.406,0.158,8,-28.552,1,0.0334,0.494,0.858,0.113,0.0372,160.01,4
323,Silva,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",270840,3,0.183,0.0631,2,-24.838,1,0.0381,0.931,0.88,0.12,0.032,140.023,4
324,Overwatch Variation,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",285680,4,0.283,0.111,2,-22.427,1,0.033,0.75,0.885,0.0855,0.0402,52.263,4
325,Alice,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",211706,2,0.327,0.154,2,-20.71,1,0.0313,0.307,0.886,0.0832,0.0343,80.034,4
326,Sweet Brutal Suite,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",192946,22,0.267,0.00266,2,-26.755,1,0.0389,0.973,0.83,0.0733,0.0401,72.43,5
327,Russian Safehouse,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",227466,2,0.148,0.299,0,-16.237,0,0.0445,0.241,0.929,0.185,0.0283,136.987,3
328,Crew Meeting,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",134133,4,0.331,0.479,0,-18.552,0,0.0384,0.106,0.821,0.111,0.0396,117.99,4
329,Li Fight,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",277600,3,0.29,0.701,2,-14.379,1,0.0631,0.0247,0.87,0.0933,0.0269,140.003,3
330,The Drive,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",254133,3,0.284,0.239,2,-20.779,1,0.0345,0.394,0.831,0.124,0.0343,132.406,4
331,Street War,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",363706,3,0.182,0.504,2,-14.667,1,0.0366,0.138,0.949,0.354,0.0324,139.975,1
332,Bakery,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",227800,2,0.0677,0.258,0,-19.786,0,0.055,0.647,0.901,0.0997,0.0389,74.503,4
333,Bakery Fight,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",124000,2,0.246,0.32,0,-16.943,0,0.0511,0.348,0.854,0.116,0.035,130.156,4
334,Dougie,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",220160,2,0.325,0.455,2,-17.79,1,0.0422,0.485,0.888,0.118,0.044,144.05,1
335,Fight in Apartment,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",144880,2,0.517,0.471,0,-13.965,1,0.0394,0.0539,0.791,0.105,0.0387,117.963,4
336,Car Standoff,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",150666,2,0.513,0.418,2,-16.713,1,0.034,0.105,0.877,0.354,0.0384,129.975,4
337,Final Moves,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",298453,3,0.169,0.0743,0,-24.011,0,0.0358,0.774,0.909,0.113,0.0301,159.947,4
338,Bishop in the Square,Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",165880,4,0.385,0.266,2,-19.175,1,0.0364,0.629,0.899,0.104,0.0347,130.068,4
339,Mile 22 (End Titles Suite),Mile 22 (Original Motion Picture Soundtrack),Jeff Russo,2018-08-17,"['scorecore', 'soundtrack', 'video game music']",312666,3,0.232,0.0637,10,-19.337,1,0.0374,0.881,0.666,0.106,0.0486,80.22,4
340,Dance Battle,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",311680,28,0.703,0.347,7,-19.06,1,0.0675,0.101,0.82,0.5,0.211,92.997,4
341,Farouk / The Shadow King,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",313346,17,0.246,0.0505,8,-23.015,1,0.0436,0.761,0.551,0.102,0.0299,129.379,4
342,Future Syd,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",310893,13,0.286,0.0755,5,-21.34,0,0.0371,0.919,0.872,0.168,0.0369,67.148,4
343,Many Days (Synth),Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",767053,12,0.127,0.0039,0,-23.869,0,0.0448,0.8,0.837,0.11,0.034,72.997,4
344,Where is David?,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",537440,14,0.645,0.492,1,-11.875,1,0.0594,0.0197,0.805,0.63,0.449,130.001,4
345,Lenny and Oliver (Farouk),Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",55613,10,0.146,0.0761,4,-21.907,0,0.0334,0.00252,0.863,0.104,0.0382,91.547,4
346,Division 3,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",54093,10,0.207,0.00735,7,-28.507,1,0.0445,0.858,0.971,0.0986,0.0393,134.651,4
347,Orange Bridge,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",77163,11,0.286,0.165,3,-25.526,1,0.0446,0.694,0.896,0.109,0.107,120.112,4
348,Sliding Door David,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",60746,12,0.44,0.15,2,-22.267,1,0.0367,0.93,0.912,0.111,0.374,120.202,4
349,End of Life,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",50706,10,0.185,0.0629,2,-27.988,0,0.0513,0.902,0.955,0.111,0.0328,73.598,4
350,Lost in the Desert,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",115146,15,0.769,0.497,7,-20.574,0,0.0645,0.00422,0.892,0.194,0.657,139.996,4
351,208 Main on Ends,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",76826,10,0.287,0.119,0,-24.323,1,0.036,0.593,0.893,0.121,0.0314,63.19,4
352,Laboratory,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",46266,11,0.194,0.636,6,-10.803,0,0.0675,0.313,0.946,0.392,0.306,134.261,1
353,89 Days,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",389927,11,0.141,0.124,0,-23.449,0,0.0383,0.867,0.83,0.103,0.0393,140.707,3
354,The Magic Man,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",148685,16,0.512,0.0339,9,-27.866,0,0.0405,0.978,0.318,0.0925,0.0448,119.971,4
355,Carousel,Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",117373,11,0.563,0.0207,7,-27.864,1,0.0381,0.995,0.959,0.109,0.0353,139.981,4
356,202 Main on Ends (Full Version),Legion: Season 2 (Original Television Series Soundtrack),Jeff Russo,2018-05-25,"['scorecore', 'soundtrack', 'video game music']",174680,14,0.538,0.451,7,-11.502,1,0.0274,0.0512,0.922,0.11,0.23,139.982,4
357,Burnham Take Over,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",91198,8,0.446,0.182,10,-19.291,0,0.0348,0.608,0.811,0.105,0.0302,102.963,3
358,I Can't Rest Here,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",82566,4,0.208,0.0429,0,-25.338,0,0.0339,0.924,0.948,0.0837,0.0332,83.718,4
359,Dishonor Yourselves,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",140920,4,0.273,0.0334,2,-31.148,1,0.0376,0.902,0.858,0.109,0.0329,72.023,4
360,Tell Me the Truth,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",389853,4,0.0729,0.0584,7,-29.208,0,0.0373,0.346,0.868,0.0853,0.0296,76.731,4
361,The Rebels Haven't Completed Their Evacuation,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",110121,6,0.316,0.107,7,-20.518,0,0.0324,0.538,0.779,0.0784,0.129,80.022,4
362,I'll Take It from Here,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",129677,3,0.16,0.109,2,-25.604,0,0.0453,0.604,0.907,0.101,0.0347,72.011,5
363,Kasseelian Opera,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",151236,15,0.268,0.152,2,-21.638,0,0.0422,0.894,0.0886,0.104,0.0349,82.654,1
364,The Lorca I Knew,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",158493,4,0.417,0.204,0,-21.07,0,0.0406,0.658,0.811,0.112,0.035,97.279,4
365,212 Days of Torture,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",87227,5,0.457,0.366,2,-17.162,0,0.0424,0.572,0.682,0.0734,0.15,80.007,4
366,Biotoxins,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",118133,4,0.153,0.334,2,-19.308,1,0.055,0.195,0.836,0.0939,0.0337,78.291,3
367,Come in Discovery,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",150066,4,0.173,0.0731,8,-24.26,1,0.0409,0.925,0.687,0.175,0.0349,122.837,4
368,Safe to Drop out of Warp,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",266600,5,0.274,0.278,10,-14.715,0,0.0329,0.535,0.902,0.116,0.0576,169.064,1
369,Lorca is Finished,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",146055,5,0.144,0.329,0,-14.945,0,0.0383,0.78,0.822,0.103,0.0698,150.123,4
370,Coming Home,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",81373,4,0.356,0.427,1,-19.007,1,0.0439,0.637,0.967,0.112,0.0832,119.118,4
371,Initiating,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",182853,4,0.189,0.58,0,-13.741,0,0.0466,0.485,0.95,0.0908,0.118,146.122,4
372,Qo'nos Bar Source,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",174933,4,0.689,0.157,2,-20.864,1,0.0336,0.191,0.614,0.115,0.0397,100.026,4
373,Not a Lot of Humans Here,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",117266,5,0.534,0.163,0,-17.513,1,0.0298,0.414,0.859,0.131,0.423,99.943,4
374,I'm No Good,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",156373,4,0.173,0.0394,0,-24.067,0,0.0469,0.784,0.533,0.0896,0.034,76.576,3
375,War is Over,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",288453,4,0.13,0.0612,2,-21.626,0,0.0427,0.936,0.907,0.105,0.0347,62.947,4
376,I've Never Been to Vulcan,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",55946,3,0.157,0.384,1,-14.417,1,0.0415,0.621,0.855,0.125,0.0297,107.524,4
377,Incoming Transmission,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",72066,7,0.416,0.406,1,-11.813,1,0.0685,0.89,0.855,0.0519,0.0263,88.152,3
378,Theme from Star Trek (Discovery Episode 115 End Credits Version),Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",62711,8,0.221,0.656,10,-8.132,1,0.045,0.764,0.68,0.241,0.263,149.804,4
379,Burnham Take Over,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",91198,6,0.446,0.182,10,-19.291,0,0.0348,0.608,0.811,0.105,0.0302,102.963,3
380,I Can't Rest Here,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",82566,3,0.208,0.0429,0,-25.338,0,0.0339,0.924,0.948,0.0837,0.0332,83.718,4
381,Dishonor Yourselves,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",140920,3,0.273,0.0334,2,-31.148,1,0.0376,0.902,0.858,0.109,0.0329,72.023,4
382,Tell Me the Truth,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",389853,4,0.0729,0.0584,7,-29.208,0,0.0373,0.346,0.868,0.0853,0.0296,76.731,4
383,The Rebels Haven't Completed Their Evacuation,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",110121,4,0.316,0.107,7,-20.518,0,0.0324,0.538,0.779,0.0784,0.129,80.022,4
384,I'll Take It from Here,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",129677,2,0.16,0.109,2,-25.604,0,0.0453,0.604,0.907,0.101,0.0347,72.011,5
385,Kasseelian Opera,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",151236,10,0.268,0.152,2,-21.638,0,0.0422,0.894,0.0886,0.104,0.0349,82.654,1
386,The Lorca I Knew,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",158493,3,0.417,0.204,0,-21.07,0,0.0406,0.658,0.811,0.112,0.035,97.279,4
387,212 Days of Torture,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",87227,3,0.457,0.366,2,-17.162,0,0.0424,0.572,0.682,0.0734,0.15,80.007,4
388,Biotoxins,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",118133,3,0.153,0.334,2,-19.308,1,0.055,0.195,0.836,0.0939,0.0337,78.291,3
389,Come in Discovery,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",150066,3,0.173,0.0731,8,-24.26,1,0.0409,0.925,0.687,0.175,0.0349,122.837,4
390,Safe to Drop out of Warp,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",266600,3,0.274,0.278,10,-14.715,0,0.0329,0.535,0.902,0.116,0.0576,169.064,1
391,Lorca is Finished,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",146055,3,0.144,0.329,0,-14.945,0,0.0383,0.78,0.822,0.103,0.0698,150.123,4
392,Coming Home,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",81373,2,0.356,0.427,1,-19.007,1,0.0439,0.637,0.967,0.112,0.0832,119.118,4
393,Initiating,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",182853,3,0.189,0.58,0,-13.741,0,0.0466,0.485,0.95,0.0908,0.118,146.122,4
394,Qo'nos Bar Source,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",174933,2,0.689,0.157,2,-20.864,1,0.0336,0.191,0.614,0.115,0.0397,100.026,4
395,Not a Lot of Humans Here,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",117266,2,0.534,0.163,0,-17.513,1,0.0298,0.414,0.859,0.131,0.423,99.943,4
396,I'm No Good,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",156373,3,0.173,0.0394,0,-24.067,0,0.0469,0.784,0.533,0.0896,0.034,76.576,3
397,War is Over,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",288453,3,0.13,0.0612,2,-21.626,0,0.0427,0.936,0.907,0.105,0.0347,62.947,4
398,I've Never Been to Vulcan,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",55946,3,0.157,0.384,1,-14.417,1,0.0415,0.621,0.855,0.125,0.0297,107.524,4
399,Incoming Transmission,Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",72066,4,0.416,0.406,1,-11.813,1,0.0685,0.89,0.855,0.0519,0.0263,88.152,3
400,Theme from Star Trek (Discovery Episode 115 End Credits Version),Star Trek: Discovery (Original Series Soundtrack) (Chapter 2),Jeff Russo,2018-04-06,"['scorecore', 'soundtrack', 'video game music']",62711,9,0.221,0.656,10,-8.132,1,0.045,0.764,0.68,0.241,0.263,149.804,4
401,Altered Carbon Main Titles,Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",99746,25,0.468,0.439,0,-14.585,0,0.0429,0.856,0.932,0.0785,0.0337,120.032,4
402,Consciousness,Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",323440,19,0.184,0.0979,5,-23.123,1,0.0393,0.99,0.929,0.112,0.0388,143.9,1
403,Last Stand Kovacs V1,Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",34146,15,0.321,0.0567,7,-24.45,0,0.0445,0.888,0.818,0.111,0.0353,123.089,1
404,Bancroft Shows Kovacs,Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",224680,16,0.173,0.0461,5,-32.137,0,0.0421,0.982,0.952,0.0649,0.0352,66.083,5
405,Her Daughter,Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",267120,15,0.127,0.0464,8,-27.08,1,0.045,0.919,0.927,0.0872,0.0325,77.707,4
406,Attacked by Troopers,Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",62800,15,0.294,0.173,8,-22.877,1,0.0412,0.861,0.819,0.0889,0.101,68.506,4
407,Passing the Book,Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",131386,15,0.216,0.0297,0,-28.498,0,0.0432,0.989,0.937,0.106,0.038,137.585,4
408,The Next Screen (Bonus),Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",162626,43,0.385,0.261,4,-14.795,0,0.0347,0.169,0.891,0.0612,0.0337,119.931,1
409,The Patchwork Man,Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",46893,17,0.283,0.557,8,-14.337,1,0.0395,0.951,0.962,0.105,0.0334,69.129,3
410,Let My Baby Ride,Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",226760,21,0.464,0.961,6,-6.143,0,0.196,0.0125,0.633,0.0946,0.245,192.045,4
411,More Human Than Human,Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",113066,20,0.424,0.537,4,-11.057,0,0.0356,5.82e-05,0.467,0.0918,0.0482,101.025,4
412,Ain't No Grave,Altered Carbon (Original Series Soundtrack) [Deluxe],Jeff Russo,2018-03-16,"['scorecore', 'soundtrack', 'video game music']",168933,22,0.507,0.535,9,-9.35,0,0.0571,0.205,8e-06,0.112,0.462,144.188,4
413,Altered Carbon Main Titles,Altered Carbon (Original Series Soundtrack),Jeff Russo,2018-02-16,"['scorecore', 'soundtrack', 'video game music']",99746,26,0.468,0.439,0,-14.585,0,0.0429,0.856,0.932,0.0785,0.0337,120.032,4
414,Consciousness,Altered Carbon (Original Series Soundtrack),Jeff Russo,2018-02-16,"['scorecore', 'soundtrack', 'video game music']",323440,15,0.184,0.0979,5,-23.123,1,0.0393,0.99,0.929,0.112,0.0388,143.9,1
415,Last Stand Kovacs V1,Altered Carbon (Original Series Soundtrack),Jeff Russo,2018-02-16,"['scorecore', 'soundtrack', 'video game music']",34146,11,0.321,0.0567,7,-24.45,0,0.0445,0.888,0.818,0.111,0.0353,123.089,1
416,Bancroft Shows Kovacs,Altered Carbon (Original Series Soundtrack),Jeff Russo,2018-02-16,"['scorecore', 'soundtrack', 'video game music']",224680,12,0.173,0.0461,5,-32.137,0,0.0421,0.982,0.952,0.0649,0.0352,66.083,5
417,Her Daughter,Altered Carbon (Original Series Soundtrack),Jeff Russo,2018-02-16,"['scorecore', 'soundtrack', 'video game music']",267120,12,0.127,0.0464,8,-27.08,1,0.045,0.919,0.927,0.0872,0.0325,77.707,4
418,Attacked by Troopers,Altered Carbon (Original Series Soundtrack),Jeff Russo,2018-02-16,"['scorecore', 'soundtrack', 'video game music']",62800,12,0.294,0.173,8,-22.877,1,0.0412,0.861,0.819,0.0889,0.101,68.506,4
419,Passing the Book,Altered Carbon (Original Series Soundtrack),Jeff Russo,2018-02-16,"['scorecore', 'soundtrack', 'video game music']",131386,12,0.216,0.0297,0,-28.498,0,0.0432,0.989,0.937,0.106,0.038,137.585,4
420,The Patchwork Man,Altered Carbon (Original Series Soundtrack),Jeff Russo,2018-02-16,"['scorecore', 'soundtrack', 'video game music']",46893,16,0.283,0.557,8,-14.337,1,0.0395,0.951,0.962,0.105,0.0334,69.129,3
421,Let My Baby Ride,Altered Carbon (Original Series Soundtrack),Jeff Russo,2018-02-16,"['scorecore', 'soundtrack', 'video game music']",226760,28,0.464,0.961,6,-6.143,0,0.196,0.0125,0.633,0.0946,0.245,192.045,4
422,More Human Than Human,Altered Carbon (Original Series Soundtrack),Jeff Russo,2018-02-16,"['scorecore', 'soundtrack', 'video game music']",113066,29,0.424,0.537,4,-11.057,0,0.0356,5.82e-05,0.467,0.0918,0.0482,101.025,4
423,Ain't No Grave,Altered Carbon (Original Series Soundtrack),Jeff Russo,2018-02-16,"['scorecore', 'soundtrack', 'video game music']",168933,37,0.507,0.535,9,-9.35,0,0.0571,0.205,8e-06,0.112,0.462,144.188,4
424,Waco (Main Title Theme),Waco (Original Score Soundtrack),Jeff Russo,2018-02-09,"['scorecore', 'soundtrack', 'video game music']",34773,10,0.441,0.38,11,-14.474,0,0.0358,0.942,0.938,0.106,0.0522,107.242,4
425,Tear Gas,Waco (Original Score Soundtrack),Jeff Russo,2018-02-09,"['scorecore', 'soundtrack', 'video game music']",163626,8,0.093,0.101,11,-19.682,0,0.0346,0.429,0.856,0.154,0.0371,86.616,4
426,David's Theme,Waco (Original Score Soundtrack),Jeff Russo,2018-02-09,"['scorecore', 'soundtrack', 'video game music']",108266,10,0.501,0.107,1,-26.045,1,0.0398,0.876,0.848,0.0767,0.0384,115.907,4
427,Sniper at Ruby Ridge,Waco (Original Score Soundtrack),Jeff Russo,2018-02-09,"['scorecore', 'soundtrack', 'video game music']",95640,4,0.455,0.145,5,-18.566,0,0.0296,0.574,0.894,0.0965,0.0385,80.867,3
428,Rachel Dies,Waco (Original Score Soundtrack),Jeff Russo,2018-02-09,"['scorecore', 'soundtrack', 'video game music']",134400,4,0.219,0.168,5,-19.746,1,0.0376,0.0265,0.932,0.104,0.0313,61.17,3
429,Incendiary,Waco (Original Score Soundtrack),Jeff Russo,2018-02-09,"['scorecore', 'soundtrack', 'video game music']",99853,5,0.201,0.0389,11,-22.674,0,0.0467,0.221,0.863,0.129,0.0281,69.344,3
