,name,album,artist,release_date,length,popularity,danceability,energy,key,loudness,mode,speech,acousticness,instrumentalness,liveness,valence,tempo,time_signature
164,"Your Body Is a Wonderland - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-02-18,365693,0,0.56,0.783,5,-7.511,1,0.0374,0.0399,0.0612,0.84,0.782,97.928,4
165,"My Stupid Mouth - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-02-18,302266,0,0.465,0.842,2,-8.159,1,0.0386,0.112,0.000114,0.966,0.546,92.319,4
166,"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-02-18,625173,2,0.445,0.523,10,-9.854,1,0.0316,0.0462,0.28,0.878,0.549,137.96,4
167,"83 Medley - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-02-18,449893,0,0.435,0.843,2,-8.09,1,0.0516,0.0985,0.000276,0.821,0.602,130.312,4
168,"Comfortable - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-02-18,457266,0,0.205,0.455,5,-11.298,1,0.039,0.507,7.2e-05,0.743,0.277,181.957,3
169,"Neon - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-02-18,622373,0,0.487,0.796,5,-9.273,0,0.042,0.0411,0.453,0.508,0.726,107.416,4
170,"3x5 - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,485226,32,0.269,0.734,5,-9.558,0,0.0365,0.148,0.00336,0.926,0.359,99.268,4
171,"No Such Thing - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,286266,32,0.434,0.908,9,-7.334,1,0.0452,0.108,6.61e-05,0.341,0.464,135.599,4
172,"Back to You - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,276133,32,0.431,0.936,6,-6.73,0,0.0449,0.0855,0.0337,0.843,0.652,105.684,4
173,"City Love - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,311000,32,0.518,0.774,7,-6.633,1,0.0343,0.163,0.00534,0.949,0.579,133.525,4
174,"Something's Missing - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,407466,32,0.49,0.765,4,-7.54,1,0.0382,0.0708,0.00324,0.708,0.493,76.558,4
175,"Lenny / Man On the Side - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,526306,37,0.438,0.315,4,-11.878,1,0.0345,0.803,0.00292,0.867,0.352,120.211,3
176,"Message In a Bottle - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,306826,39,0.527,0.509,9,-10.926,1,0.057,0.241,3.34e-06,0.573,0.449,129.972,4
177,"Love Song for No One - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,215706,31,0.276,0.736,2,-8.824,1,0.0334,0.0698,8.64e-05,0.887,0.509,147.288,4
178,"Why Georgia - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,504066,33,0.376,0.717,7,-8.643,1,0.0383,0.0245,0.000211,0.848,0.579,98.337,4
179,"Your Body Is a Wonderland - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,365693,34,0.56,0.783,5,-7.511,1,0.0374,0.0399,0.0612,0.84,0.782,97.928,4
180,"My Stupid Mouth - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,302266,30,0.465,0.842,2,-8.159,1,0.0386,0.112,0.000114,0.966,0.546,92.319,4
181,"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,625173,43,0.445,0.523,10,-9.854,1,0.0316,0.0462,0.28,0.878,0.549,137.96,4
182,"83 Medley - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,449893,31,0.435,0.843,2,-8.09,1,0.0516,0.0985,0.000276,0.821,0.602,130.312,4
183,"Comfortable - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,457266,31,0.205,0.455,5,-11.298,1,0.039,0.507,7.2e-05,0.743,0.277,181.957,3
184,"Neon - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,622373,31,0.487,0.796,5,-9.273,0,0.042,0.0411,0.453,0.508,0.726,107.416,4
185,No Such Thing,Room For Squares,John Mayer,2001-08-16,231466,65,0.668,0.739,4,-4.919,1,0.0308,0.0383,0.0,0.13,0.571,131.918,4
186,Why Georgia,Room For Squares,John Mayer,2001-08-16,268973,65,0.608,0.639,7,-7.205,1,0.0246,0.0208,5.94e-05,0.0893,0.369,96.915,4
187,My Stupid Mouth,Room For Squares,John Mayer,2001-08-16,223960,57,0.608,0.603,2,-6.792,1,0.0271,0.0143,1.22e-05,0.0833,0.49,88.824,4
188,Your Body Is a Wonderland,Room For Squares,John Mayer,2001-08-16,249626,77,0.647,0.729,5,-6.251,1,0.0236,0.0206,0.0489,0.134,0.687,94.01,4
189,Neon,Room For Squares,John Mayer,2001-08-16,262106,60,0.699,0.77,5,-7.658,0,0.036,0.0181,0.000138,0.0644,0.589,101.984,4
190,City Love,Room For Squares,John Mayer,2001-08-16,240200,48,0.651,0.548,5,-6.036,1,0.0304,0.00576,5.58e-05,0.145,0.411,67.604,4
191,83,Room For Squares,John Mayer,2001-08-16,290933,48,0.704,0.838,2,-5.744,1,0.0289,0.0677,0.00669,0.121,0.699,121.972,4
192,3x5,Room For Squares,John Mayer,2001-08-16,289226,48,0.502,0.785,5,-6.64,0,0.0275,0.0847,0.0337,0.111,0.59,96.994,4
193,Love Song for No One,Room For Squares,John Mayer,2001-08-16,201560,46,0.528,0.755,2,-4.671,1,0.0311,0.0352,0.0,0.345,0.432,144.024,4
194,Back to You,Room For Squares,John Mayer,2001-08-16,241640,55,0.571,0.835,6,-5.574,0,0.0327,0.00698,3.05e-05,0.0639,0.521,101.94,4
195,Great Indoors,Room For Squares,John Mayer,2001-08-16,216360,45,0.591,0.617,0,-7.495,1,0.0259,0.0157,4.35e-05,0.146,0.48,109.956,4
196,Not Myself,Room For Squares,John Mayer,2001-08-16,216573,45,0.539,0.49,1,-7.258,1,0.0234,0.0274,0.0166,0.102,0.226,89.991,4
197,St. Patrick's Day,Room For Squares,John Mayer,2001-08-16,321093,49,0.597,0.439,9,-7.126,1,0.0258,0.0502,0.000129,0.19,0.127,127.89,3
198,Back To You - EP Version,Inside Wants Out,John Mayer,1999-09-24,237493,39,0.602,0.637,6,-10.878,0,0.0316,0.0746,0.133,0.121,0.532,99.374,4
199,No Such Thing - Demo Version,Inside Wants Out,John Mayer,1999-09-24,229466,52,0.642,0.411,9,-9.484,1,0.0283,0.785,0.00384,0.103,0.494,129.146,4
200,My Stupid Mouth - Demo Version,Inside Wants Out,John Mayer,1999-09-24,254960,38,0.414,0.322,2,-9.51,1,0.0333,0.794,6.58e-05,0.137,0.427,175.131,4
201,Neon - EP Version,Inside Wants Out,John Mayer,1999-09-24,232760,40,0.592,0.379,10,-12.347,0,0.0503,0.833,0.000225,0.369,0.814,109.082,4
202,Victoria - EP Version,Inside Wants Out,John Mayer,1999-09-24,227040,50,0.682,0.264,7,-11.915,1,0.0378,0.865,0.0019,0.102,0.219,72.891,4
203,Love Soon - EP Version,Inside Wants Out,John Mayer,1999-09-24,217533,37,0.701,0.356,0,-10.237,1,0.031,0.836,0.000323,0.0944,0.564,97.304,4
204,Comfortable - EP Version,Inside Wants Out,John Mayer,1999-09-24,299333,52,0.328,0.129,5,-13.523,1,0.0286,0.806,3.61e-06,0.105,0.114,84.73,4
205,Quiet - EP Version,Inside Wants Out,John Mayer,1999-09-24,200533,50,0.557,0.0695,6,-14.11,1,0.0383,0.775,8.92e-05,0.104,0.126,103.23,3
206,Inside Friend (feat. John Mayer),Inside Friend (feat. John Mayer),Leon Bridges,2020-04-10,175432,69,0.693,0.259,1,-7.918,1,0.0372,0.448,0.000135,0.0995,0.361,88.972,4
207,Carry Me Away,Carry Me Away,John Mayer,2019-09-06,156986,71,0.703,0.668,4,-7.746,1,0.0289,0.0428,0.000408,0.0963,0.659,120.005,4
208,I Guess I Just Feel Like,I Guess I Just Feel Like,John Mayer,2019-02-22,285480,72,0.556,0.528,4,-8.033,1,0.0266,0.615,0.0964,0.122,0.163,159.821,4
209,New Light - Zookëper Remix,New Light (Zookëper Remix),John Mayer,2018-08-10,237933,49,0.709,0.939,4,-4.46,0,0.0542,0.0103,0.0845,0.0936,0.389,124.0,4
210,New Light,New Light,John Mayer,2018-06-29,216026,26,0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,0.853,123.931,4
211,New Light,New Light,John Mayer,2018-05-10,216014,79,0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,0.853,123.931,4
212,Still Feel Like Your Man,The Search for Everything - Wave Two,John Mayer,2017-02-24,236693,46,0.861,0.593,2,-6.692,1,0.0683,0.512,0.0021,0.244,0.501,106.024,4
213,Emoji of a Wave,The Search for Everything - Wave Two,John Mayer,2017-02-24,239213,40,0.494,0.36,11,-8.916,1,0.028,0.8,0.00111,0.158,0.183,165.759,4
214,Helpless,The Search for Everything - Wave Two,John Mayer,2017-02-24,248786,44,0.765,0.597,9,-5.858,0,0.0267,0.149,0.00145,0.0341,0.935,103.968,4
215,Roll it on Home,The Search for Everything - Wave Two,John Mayer,2017-02-24,204560,35,0.611,0.683,2,-6.714,1,0.0294,0.628,0.0235,0.137,0.707,154.94,4
216,Moving On and Getting Over,The Search for Everything - Wave One,John Mayer,2017-01-20,261933,48,0.848,0.465,1,-9.029,0,0.0524,0.577,0.0543,0.101,0.621,94.02,4
217,Changing,The Search for Everything - Wave One,John Mayer,2017-01-20,213933,40,0.349,0.338,0,-7.793,1,0.0292,0.62,0.00799,0.128,0.391,182.842,3
218,Love on the Weekend,The Search for Everything - Wave One,John Mayer,2017-01-20,211840,41,0.715,0.59,7,-7.855,1,0.0286,0.652,0.000551,0.0627,0.395,119.966,4
219,You're Gonna Live Forever in Me,The Search for Everything - Wave One,John Mayer,2017-01-20,189320,46,0.509,0.132,7,-14.004,1,0.0322,0.985,0.0025,0.135,0.306,136.968,4
220,Love on the Weekend,Love on the Weekend,John Mayer,2016-11-17,212626,64,0.729,0.546,7,-9.305,1,0.0285,0.547,0.00287,0.0651,0.406,119.941,4
221,XO,XO,John Mayer,2014-05-27,213626,73,0.431,0.377,2,-9.753,1,0.0288,0.749,0.0,0.211,0.353,173.67,4
222,Shadow Days,Shadow Days,John Mayer,2012-03-06,233213,7,0.523,0.567,2,-9.834,1,0.0254,0.0733,0.242,0.112,0.216,146.978,4
223,Waiting On the World to Change (feat. Ben Harper),The Village Sessions,John Mayer,2006-12-12,171666,49,0.544,0.624,2,-6.593,1,0.0954,0.522,3.13e-06,0.376,0.619,175.321,4
224,Belief - Acoustic,The Village Sessions,John Mayer,2006-12-12,222880,43,0.713,0.472,2,-8.02,0,0.0311,0.799,0.02,0.137,0.649,102.055,4
225,Slow Dancing in a Burning Room - Acoustic,The Village Sessions,John Mayer,2006-12-12,232706,55,0.611,0.313,4,-10.242,1,0.0339,0.835,0.000315,0.111,0.378,134.858,3
226,Good Love Is On the Way - Acoustic,The Village Sessions,John Mayer,2006-12-12,204560,36,0.548,0.4,1,-8.479,1,0.0303,0.856,0.0415,0.109,0.465,91.326,4
227,I'm Gonna Find Another You - Acoustic,The Village Sessions,John Mayer,2006-12-12,165746,37,0.53,0.199,9,-10.217,1,0.0303,0.909,0.000453,0.133,0.239,150.191,3
228,In Repair - Acoustic,The Village Sessions,John Mayer,2006-12-12,347133,37,0.493,0.315,2,-7.359,1,0.0287,0.834,0.00662,0.107,0.243,139.514,4
229,Say,Say,John Mayer,2006-10-13,230213,61,0.485,0.723,10,-6.565,1,0.0317,0.541,1.12e-06,0.075,0.541,167.845,4
230,Daughters,Daughters,John Mayer,2004-12-07,237960,43,0.687,0.404,2,-7.762,1,0.0272,0.849,4.05e-05,0.0957,0.509,124.912,3
231,Daughters - Electric Guitar Mix,Daughters,John Mayer,2004-12-07,237906,27,0.63,0.427,2,-7.697,1,0.0279,0.755,0.0,0.104,0.376,124.903,3
232,Daughters - Home Demo,Daughters,John Mayer,2004-12-07,299160,29,0.702,0.504,2,-5.061,1,0.0282,0.0635,0.000264,0.208,0.325,122.922,3
233,No Such Thing,No Such Thing,John Mayer,2002-06-07,231226,1,0.658,0.747,4,-4.905,1,0.0309,0.0431,0.0,0.132,0.539,131.972,4
234,My Stupid Mouth,No Such Thing,John Mayer,2002-06-07,224386,0,0.613,0.604,2,-6.802,1,0.027,0.019,6.32e-06,0.0888,0.45,88.864,4
235,Lenny - Live at The X-Lounge,No Such Thing,John Mayer,2002-06-07,129080,0,0.562,0.195,2,-12.479,1,0.0466,0.942,0.122,0.113,0.344,125.221,4
236,The Wind Cries Mary - Live at The X-Lounge,No Such Thing,John Mayer,2002-06-07,216093,1,0.562,0.418,4,-8.369,1,0.0293,0.802,0.000188,0.307,0.443,73.582,4
237,Bigger Than My Body,Bigger Than My Body,John Mayer,2001,266786,17,0.604,0.935,9,-3.064,1,0.0318,0.01,0.0597,0.291,0.523,117.311,4
238,No Such Thing,Bigger Than My Body,John Mayer,2001,233213,14,0.669,0.751,4,-4.882,1,0.031,0.041,0.0,0.123,0.566,131.985,4
